Canonical	Mappable	Mapped	Names	Description	Link
	1	0	Cape of Forochel	The home of the Lossoth	http://www.glyphweb.com/arda/c/capeofforochel.html
	1	0	"Causeway / Causeway, Gondor"	The roadway between the Osgiliath and the Pelennor	http://www.glyphweb.com/arda/c/causeway.html
	1	0	Chamber of Mazarbul	The Chamber of Records in old Khazad-dûm	http://www.glyphweb.com/arda/c/chamberofmazarbul.html
	1	0	Chamber of Records	The Chamber of Mazarbul in Khazad-dûm	http://www.glyphweb.com/arda/c/chamberofrecords.html
	1	0	Citadel of Gondor	The seventh circle of Minas Tirith	http://www.glyphweb.com/arda/c/citadelofgondor.html
	1	0	Closed Door	The door that led to the Silent Street	http://www.glyphweb.com/arda/c/closeddoor.html
	1	0	Combe	A village of the Bree-land	http://www.glyphweb.com/arda/c/combe.html
	1	0	Cracks of Doom	The heart of Orodruin	http://www.glyphweb.com/arda/c/cracksofdoom.html
	1	0	Crickhollow	A village of northern Buckland	http://www.glyphweb.com/arda/c/crickhollow.html
	1	0	Cross-roads	The road-meeting in central Ithilien	http://www.glyphweb.com/arda/c/crossroads.html
	1	0	Dark Door	The entrance into the Paths of the Dead	http://www.glyphweb.com/arda/d/darkdoor.html
	1	0	Deephallow	A village of the Shire's Eastfarthing	http://www.glyphweb.com/arda/d/deephallow.html
	1	0	Deeping	The guarded vale of the Deeping-stream	http://www.glyphweb.com/arda/d/deeping.html
	1	0	Deeping Wall	The defensive wall of Helms Deep	http://www.glyphweb.com/arda/d/deepingwall.html
	1	0	Deeping-road	The road to Helms Deep	http://www.glyphweb.com/arda/d/deepingroad.html
	1	0	Deeping-stream	The stream of Helm's Deep	http://www.glyphweb.com/arda/d/deepingstream.html
	1	0	Derndingle	The place of Entmoot	http://www.glyphweb.com/arda/d/derndingle.html
	1	0	Desolation of Smaug	The blasted domain of the Dragon of Erebor	http://www.glyphweb.com/arda/d/desolationofsmaug.html
	1	0	Desolation of the Dragon	The burned lands around Erebor	http://www.glyphweb.com/arda/d/desolationofthedragon.html
	1	0	Desolation of the Morannon	The desert before Mordor's Gates	http://www.glyphweb.com/arda/d/desolationofthemorannon.html
	1	0	Dimrill Stair	The pass down into the Dimrill Dale	http://www.glyphweb.com/arda/d/dimrillstair.html
	1	0	Dîn	The hill to the east of the Drúadan Forest	http://www.glyphweb.com/arda/d/din.html
	1	0	Dome of Stars	The great hall of Osgiliath	http://www.glyphweb.com/arda/d/domeofstars.html
	1	0	Door of the Dead	The gateway of the Haunted Mountain	http://www.glyphweb.com/arda/d/doorofthedead.html
	1	0	Durin's Stone	The standing stone beside the Mirrormere	http://www.glyphweb.com/arda/d/durinsstone.html
	1	0	Durin’s Bridge / Durin's Bridge	The Bridge of Khazad-dûm	http://www.glyphweb.com/arda/d/durinsbridge.html
	1	0	Dwaling	A northern settlement of the Shire	http://www.glyphweb.com/arda/d/dwaling.html
	1	0	East Bight	Mirkwood's treeless tract	http://www.glyphweb.com/arda/e/eastbight.html
	1	0	East Wall of Rohan	The edge of the Emyn Muil	http://www.glyphweb.com/arda/e/eastwallofrohan.html
	1	0	Edge of the Wild	The limit of the civilized lands	http://www.glyphweb.com/arda/e/edgeofthewild.html
	1	0	Elvenking's Halls	The stronghold of the Woodland Realm	http://www.glyphweb.com/arda/e/elvenkingshalls.html
	1	0	Enchanted River	The black river of northern Mirkwood	http://www.glyphweb.com/arda/e/enchantedriver.html
	1	0	Endless Stair	The stair that led to Durins Tower	http://www.glyphweb.com/arda/e/endlessstair.html
	1	0	Entwash Vale	The wide valley of the River Entwash	http://www.glyphweb.com/arda/e/entwashvale.html
	1	0	Ethir	The land at the Mouths of Anduin	http://www.glyphweb.com/arda/e/ethir.html
	1	0	Fen Hollen	The Closed Door	http://www.glyphweb.com/arda/f/fenhollen.html
	1	0	Field of Cormallen	A garth of Ithilien	http://www.glyphweb.com/arda/c/cormallen.html
	1	0	Firien-dale	The valley beneath Halifirien	http://www.glyphweb.com/arda/f/firiendale.html
	1	0	Firienfeld	The mountain-field of Dunharrow	http://www.glyphweb.com/arda/f/firienfield.html
	1	0	First Hall	The great eastern hall of Khazad-dûm	http://www.glyphweb.com/arda/f/firsthall.html
	1	0	Floating Log	The inn at Frogmorton	http://www.glyphweb.com/arda/f/floatinglog.html
	1	0	Ford of Carrock	A crossing of the upper Anduin	http://www.glyphweb.com/arda/f/fordofcarrock.html
	1	0	Forsaken Inn	The last inn on the road into Eriador	http://www.glyphweb.com/arda/f/forsakeninn.html
	1	0	Framsburg	The chief town of the Éothéod	http://www.glyphweb.com/arda/f/framsburg.html
	1	0	Frogmorton	Home of The Floating Log	http://www.glyphweb.com/arda/f/frogmorton.html
	1	0	Front Gate	The entrance to Erebor	http://www.glyphweb.com/arda/f/frontgate.html
	1	0	Gamwich	A village of the Shire	http://www.glyphweb.com/arda/g/gamwich.html
	1	0	Gate of Erebor	The Front Gate of the Lonely Mountain	http://www.glyphweb.com/arda/g/gateoferebor.html
	1	0	Gate of Isengard	The guarded archway that led to Orthanc	http://www.glyphweb.com/arda/g/gateofisengard.html
	1	0	Girdley Island	An island in the River Brandywine	http://www.glyphweb.com/arda/g/girdleyisland.html
	1	0	Goblin-town	A city of the Orcs	http://www.glyphweb.com/arda/g/goblintown.html
	1	0	Golden Hall	The gold-thatched hall of the Kings of Rohan	http://www.glyphweb.com/arda/g/goldenhall.html
	1	0	Golden Perch	Home of the best beer in the Eastfarthing	http://www.glyphweb.com/arda/g/goldenperch.html
	1	0	Great Gate of Minas Tirith	Entrance to the City of Gondor	http://www.glyphweb.com/arda/g/greatgateofminastirith.html
	1	0	Great Hall of Feasts	The feasting-hall of Minas Tirith	http://www.glyphweb.com/arda/g/greathalloffeasts.html
	1	0	Great House	The hall of the Master of Lake-town	http://www.glyphweb.com/arda/g/greathouse.html
	1	0	Great Smials	The seat of the Took family	http://www.glyphweb.com/arda/g/greatsmials.html
	1	0	Great West Road	The westward road out of Minas Tirith	http://www.glyphweb.com/arda/g/greatwestroad.html
	1	0	Green Dragon	An inn of Bywater	http://www.glyphweb.com/arda/g/greendragon.html
	1	0	Green Hills of the Shire	The range of hills that ran through the Shire	http://www.glyphweb.com/arda/g/greenhills.html
	1	0	Greenholm	A settlement on the Far Downs	http://www.glyphweb.com/arda/g/greenholm.html
	1	0	Grey Wood	The forest beneath Amon Dín	http://www.glyphweb.com/arda/g/greywood.html
	1	0	Hall of Fire	The tale-hall of Rivendell	http://www.glyphweb.com/arda/h/halloffire.html
	1	0	Hallows of Minas Tirith	The tombs of the great ones of Gondor	http://www.glyphweb.com/arda/h/hallowsofminastirith.html
	1	0	Hardbottle	A township in the Shires Northfarthing	http://www.glyphweb.com/arda/h/hardbottle.html
	1	0	Harrowdale	The mountain valley of the Snowbourn River	http://www.glyphweb.com/arda/h/harrowdale.html
	1	0	Hay Gate	The northern gate of the High Hay	http://www.glyphweb.com/arda/h/haygate.html
	1	0	Haysend	The village at the end of the High Hay	http://www.glyphweb.com/arda/h/haysend.html
	1	0	Hedge	The eastern boundary of Buckland	http://www.glyphweb.com/arda/h/hedge.html
	1	0	Helcar	An inland sea in the distant east of Middle-earth	http://www.glyphweb.com/arda/h/helcar.html
	1	0	Helm’s Dike	The defensive dike of the Deeping-coomb	http://www.glyphweb.com/arda/h/helmsdike.html
	1	0	Helm’s Gate	The guarded entrance to Helm's Deep	http://www.glyphweb.com/arda/h/helmsgate.html
	1	0	High Hay	The great fence that ran between Buckland and the Old Forest	http://www.glyphweb.com/arda/h/highhay.html
	1	0	Hobbit-holes	The underground dwellings of the Little Folk	http://www.glyphweb.com/arda/h/hobbitholes.html
	1	0	Hobbiton Hill	The hill above Bag End	http://www.glyphweb.com/arda/h/hobbitonhill.html
	1	0	Hobbiton Road	The road from Bywater to Hobbiton	http://www.glyphweb.com/arda/h/hobbitonroad.html
	1	0	Hornburg	The castle that guarded Helms Deep	http://www.glyphweb.com/arda/h/hornburg.html
	1	0	Hornrock	The foundation of the Hornburg	http://www.glyphweb.com/arda/h/hornrock.html
	1	0	House of the Kings	The last resting place of Aragorn	http://www.glyphweb.com/arda/h/houseofthekings.html
	1	0	House of the Mírdain	The guildhouse of the jewelsmiths of Eregion	http://www.glyphweb.com/arda/h/houseofthemirdain.html
	1	0	Houses of Healing	The hospital of Minas Tirith	http://www.glyphweb.com/arda/h/housesofhealing.html
	1	0	Houses of the Dead / Houses of the Dead (in Minas Tirith)	The tombs of Rath Dínen	http://www.glyphweb.com/arda/h/housesofthedead.html
	1	0	Imlad Morgul	The valley of the Morgulduin	http://www.glyphweb.com/arda/i/imladmorgul.html
	1	0	Inn of Bree	The Prancing Pony	http://www.glyphweb.com/arda/i/innofbree.html
	1	0	Ivy Bush	An inn on the Bywater Road	http://www.glyphweb.com/arda/i/ivybush.html
	1	0	King’s House / King's House	The seat of the Kings of Gondor	http://www.glyphweb.com/arda/k/kingshouse.html
	1	0	Lampwrights' Street	Rath Celerdain in Minas Tirith	http://www.glyphweb.com/arda/l/lampwrightsstreet.html
	1	0	Little Delving	A small village near Michel Delving	http://www.glyphweb.com/arda/l/littledelving.html
	1	0	Lockholes	The short-lived prison cells of Michel Delving	http://www.glyphweb.com/arda/l/lockholes.html
	1	0	Long Cape	The cape to the north of the Bay of Belfalas	http://www.glyphweb.com/arda/l/longcape.html
	1	0	Long Cleeve	The home of the North-tooks	http://www.glyphweb.com/arda/l/longcleeve.html
	1	0	Longbottom	The birthplace of pipe-weed in the Shire	http://www.glyphweb.com/arda/l/longbottom.html
	1	0	Máhanaxar	The Ring of Doom before the gates of Valmar	http://www.glyphweb.com/arda/m/mahanaxar.html
	1	0	Mathom-house	The 'museum' of Michel Delving	http://www.glyphweb.com/arda/m/mathomhouse.html
	1	0	Meduseld	The Golden Hall of the King of Rohan	http://www.glyphweb.com/arda/m/meduseld.html
	1	0	Merethrond	The Great Hall of Feasts	http://www.glyphweb.com/arda/m/merethrond.html
	1	0	Michel Delving	The chief township of the Shire	http://www.glyphweb.com/arda/m/micheldelving.html
	1	0	Mickleburg	A great Dwarf-city of the Blue Mountains	http://www.glyphweb.com/arda/m/mickleburg.html
	1	0	Morgai	The inner fence of Mordor	http://www.glyphweb.com/arda/m/morgai.html
	1	0	Morgul	The city of the Ringwraiths and its vale	http://www.glyphweb.com/arda/m/morgul.html
	1	0	Morgul Vale	The valley behind Minas Morgul in the Ephel Dúath	http://www.glyphweb.com/arda/m/morgulvale.html
	1	0	Morgul Valley	The valley where Minas Morgul stood	http://www.glyphweb.com/arda/m/morgulvalley.html
	1	0	Morgul-road	The road that passed Minas Morgul	http://www.glyphweb.com/arda/m/morgulroad.html
	1	0	Morthond Vale	The valley of the Blackroot	http://www.glyphweb.com/arda/m/morthondvale.html
	1	0	Mound of Elendil	Elendils grave on the Halifirien	http://www.glyphweb.com/arda/m/moundofelendil.html
	1	0	Mounds of Mundburg	The war-graves of Minas Tirith	http://www.glyphweb.com/arda/m/moundsofmundburg.html
	1	0	Nan Curunír	The valley of the Wizard Saruman	http://www.glyphweb.com/arda/n/nancurunir.html
	1	0	Narrows of the Forest	The neck of southern Mirkwood	http://www.glyphweb.com/arda/n/narrowsoftheforest.html
	1	0	New Row	The smials that replaced Bagshot Row	http://www.glyphweb.com/arda/n/newrow.html
	1	0	Newbury	A village of Buckland	http://www.glyphweb.com/arda/n/newbury.html
	1	0	Nobottle	A village of the northwestern Shire	http://www.glyphweb.com/arda/n/nobottle.html
	1	0	North Gate	The Hay Gate of Buckland	http://www.glyphweb.com/arda/n/northgate.html
	1	0	North Road of Ithilien	The road to the Morannon	http://www.glyphweb.com/arda/n/northroadofithilien.html
	1	0	Oatbarton	A settlement of the Shire's Northfarthing	http://www.glyphweb.com/arda/o/oatbarton.html
	1	0	Old Mill	The mill of the Hobbiton	http://www.glyphweb.com/arda/o/oldmill.html
	1	0	Overbourn Marshes	The marshland to the southeast of the Shire	http://www.glyphweb.com/arda/o/overbournmarshes.html
	1	0	Overhill	The village beyond Hobbiton Hill	http://www.glyphweb.com/arda/o/overhill.html
	1	0	Party Field	The field of Bilbos farewell feast	http://www.glyphweb.com/arda/p/partyfield.html
	1	0	Pass of Anach	The western pass of the Ered Gorgoroth	http://www.glyphweb.com/arda/p/passofanach.html
	1	0	Paths of the Dead	The haunted caverns beneath the Ered Nimrais	http://www.glyphweb.com/arda/p/pathsofthedead.html
	1	0	Pincup	A village of the Shires Southfarthing	http://www.glyphweb.com/arda/p/pincup.html
	1	0	Pinnacle of Orthanc	The high tower of Isengard	http://www.glyphweb.com/arda/p/pinnacleoforthanc.html
	1	0	Prancing Pony	The Inn of Bree	http://www.glyphweb.com/arda/p/prancingpony.html
	1	0	Rammas Echor	The boundary wall of the Pelennor Fields	http://www.glyphweb.com/arda/r/rammasechor.html
	1	0	Rath Celerdain	A street of Minas Tirith	http://www.glyphweb.com/arda/r/rathcelerdain.html
	1	0	Ring of Isengard	The defences of Orthanc	http://www.glyphweb.com/arda/r/ringofisengard.html
	1	0	Ringló Vale	The upper course of the River Ringló	http://www.glyphweb.com/arda/r/ringlovale.html
	1	0	Rushey	A village of the Shires Eastfarthing	http://www.glyphweb.com/arda/r/rushey.html
	1	0	Rushock Bog	The marshland of Needlehole	http://www.glyphweb.com/arda/r/rushockbog.html
	1	0	Sammath Naur	The Chambers of Fire in the heart of Mount Doom	http://www.glyphweb.com/arda/s/sammathnaur.html
	1	0	Scary	A village in the uplands of the Shire	http://www.glyphweb.com/arda/s/scary.html
	1	0	Second Hall	The great hall that held Durin's Bridge	http://www.glyphweb.com/arda/s/secondhall.html
	1	0	Shelob’s Lair / Shelob's Lair	The dark tunnels of Cirith Ungol	http://www.glyphweb.com/arda/s/shelobslair.html
	1	0	Shirebourn / River Shirebourn	A southern river of the Shire	http://www.glyphweb.com/arda/s/shirebourn.html
	1	0	Smials	The Hobbits name for their holes	http://www.glyphweb.com/arda/s/smials.html
	1	0	Snowmane's Howe	The grave of Théodens horse	http://www.glyphweb.com/arda/s/snowmaneshowe.html
	1	0	South Lane	The way to the home of the Cotton family	http://www.glyphweb.com/arda/s/southlane.html
	1	0	Southward Road	The long road through Ithilien	http://www.glyphweb.com/arda/s/southwardroad.html
	1	0	Staddle	The home of the Bree-hobbits	http://www.glyphweb.com/arda/s/staddle.html
	1	0	Stairs of Cirith Ungol	The hidden way into the Ephel Dúath	http://www.glyphweb.com/arda/s/stairsofcirithungol.html
	1	0	Standelf	A village of southern Buckland	http://www.glyphweb.com/arda/s/standelf.html
	1	0	Stock	A small town of the Marish	http://www.glyphweb.com/arda/s/stock.html
	1	0	Stock Road	The road through the Green Hill Country	http://www.glyphweb.com/arda/s/stockroad.html
	1	0	Stock-brook	The stream that flowed through Stock in the Shire	http://www.glyphweb.com/arda/s/stockbrook.html
	1	0	Straight Stair	The lower of the Stairs of Cirith Ungol	http://www.glyphweb.com/arda/s/straightstair.html
	1	0	Súthburg	The fortress later known as the Hornburg	http://www.glyphweb.com/arda/s/suthburg.html
	1	0	Teeth of Mordor	The towers of Narchost and Carchost	http://www.glyphweb.com/arda/t/teethofmordor.html
	1	0	The Hill / Hill	"Hobbiton Hill, to the local Hobbits"	http://www.glyphweb.com/arda/h/hill.html
	1	0	The Pool / Pool	The small lake at Bywater	http://www.glyphweb.com/arda/p/pool.html
	1	0	The River / River	The Hobbits name for the Brandywine	http://www.glyphweb.com/arda/r/river.html
	1	0	The Water / Water	The main river running through the Shire	http://www.glyphweb.com/arda/w/water.html
	1	0	Thistle Brook	A tributary of the Shirebourn	http://www.glyphweb.com/arda/t/thistlebrook.html
	1	0	Three-Farthing Stone / Three Farthing Stone	The meeting point of three of the Shires farthings	http://www.glyphweb.com/arda/t/threefarthingstone.html
	1	0	Thrihyrne	The northernmost peaks of the White Mountains	http://www.glyphweb.com/arda/t/thrihyrne.html
	1	0	Tighfield	The home of Sam Gamgees ancestors	http://www.glyphweb.com/arda/t/tighfield.html
	1	0	Tomb of Elendil	The secret of the Halifirien	http://www.glyphweb.com/arda/t/tombofelendil.html
	1	0	Tookbank	A village of the Tookland	http://www.glyphweb.com/arda/t/tookbank.html
	1	0	Torech Ungol	Shelobs Lair	http://www.glyphweb.com/arda/t/torechungol.html
	1	0	Tower of Anor	The city of Minas Tirith	http://www.glyphweb.com/arda/t/towerofanor.html
	1	0	Tower of Cirith Ungol	A guard-tower of Mordors western borders	http://www.glyphweb.com/arda/t/towerofcirithungol.html
	1	0	Tower of Ecthelion	The White Tower at the peak of Minas Tirith	http://www.glyphweb.com/arda/t/towerofecthelion.html
	1	0	Towers of Gondor	The sites of three Seeing-stones	http://www.glyphweb.com/arda/t/towersofgondor.html
	1	0	Treebeard's Hill	A rocky hill in eastern Fangorn	http://www.glyphweb.com/arda/t/treebeardshill.html
	1	0	Tuckborough	The township beneath Great Smials	http://www.glyphweb.com/arda/t/tuckborough.html
	1	0	"Tumladen, Gondor"	A minor valley of eastern Gondor	http://www.glyphweb.com/arda/t/tumladengondor.html
	1	0	Tumunzahar	A Dwarf-city of the Blue Mountains	http://www.glyphweb.com/arda/t/tumunzahar.html
	1	0	Undeeps	The meanderings of the Great River	http://www.glyphweb.com/arda/u/undeeps.html
	1	0	Underharrow	A hamlet on the River Snowbourn	http://www.glyphweb.com/arda/u/underharrow.html
	1	0	"Underhill / Underhill, Hamlet"	The hamlet under Hobbiton Hill	http://www.glyphweb.com/arda/u/underhill.html
	1	0	Undertowers	The home of the Wardens of Westmarch	http://www.glyphweb.com/arda/u/undertowers.html
	1	0	Vales of Anduin / Vale(s) of Anduin	The valley of the Great River	http://www.glyphweb.com/arda/v/valesofanduin.html
	1	0	Walls of Moria	The western cliffs of the Mountains of Moria	http://www.glyphweb.com/arda/w/wallsofmoria.html
	1	0	Watchwood	The guardians of Isengard	http://www.glyphweb.com/arda/w/watchwood.html
	1	0	Waymoot / Waymeet	A township on the East Road	http://www.glyphweb.com/arda/w/waymeet.html
	1	0	Wellinghall	The Ent-house beneath the spring of Entwash	http://www.glyphweb.com/arda/w/wellinghall.html
	1	0	West Road	The road running westward from Minas Tirith	http://www.glyphweb.com/arda/w/westroad.html
	1	0	West-gate of Bree	The gate guarded by Harry Goatleaf	http://www.glyphweb.com/arda/w/westgateofbree.html
	1	0	Westfold Vale	A wide valley of the White Mountains	http://www.glyphweb.com/arda/w/westfoldvale.html
	1	0	Whitwell	A township of the Tookland	http://www.glyphweb.com/arda/w/whitwell.html
	1	0	Willowbottom	A village on the course of Thistle Brook	http://www.glyphweb.com/arda/w/willowbottom.html
	1	0	Withy-path	The pathway beside the Withywindle	http://www.glyphweb.com/arda/w/withypath.html
	1	0	Withywindle / River Withywindle	The river that flowed through the Old Forest	http://www.glyphweb.com/arda/w/withywindle.html
	1	0	Woodhall	A village of the eastern Shire	http://www.glyphweb.com/arda/w/woodhall.html
	1	0	Northfarthing of the Shire		http://www.glyphweb.com/arda/n/northfarthing.html
	1	0	"Westlands, Middle-earth"		http://www.glyphweb.com/arda/w/westlands.html
	1	0	Green Hill Country		http://www.glyphweb.com/arda/g/greenhillcountry.html
	1	0	Marish		http://www.glyphweb.com/arda/m/marish.html
	1	0	Four Farthings		http://www.glyphweb.com/arda/f/fourfarthings.html
	1	0	Lindon		http://www.glyphweb.com/arda/l/lindon.html
	1	0	Éothéod		http://www.glyphweb.com/arda/e/eotheod.html
	1	0	West-mark		http://www.glyphweb.com/arda/w/westmark.html
	1	0	Buckland		http://www.glyphweb.com/arda/b/buckland.html
	1	0	Woody End		http://www.glyphweb.com/arda/w/woodyend.html
	1	0	Yale		http://www.glyphweb.com/arda/y/yale.html
	1	0	Southfarthing of the Shire		http://www.glyphweb.com/arda/s/southfarthing.html
	1	0	Eastfarthing of the Shire		http://www.glyphweb.com/arda/e/eastfarthing.html
	1	0	Westmarch of the Shire		http://www.glyphweb.com/arda/w/westmarch.html
	1	0	Eastmarch of the Shire		http://www.glyphweb.com/arda/e/eastmarch.html
	1	0	"Angle, Lórien"		http://www.glyphweb.com/arda/a/anglelorien.html
	1	0	Reunited Kingdom		http://www.glyphweb.com/arda/r/reunitedkingdom.html
	1	0	Westfarthing of the Shire		http://www.glyphweb.com/arda/w/westfarthing.html
	1	0	Farthings		http://www.glyphweb.com/arda/f/farthings.html
	1	0	"Angle, Bruinen"		http://www.glyphweb.com/arda/a/angle.html
	1	0	Tookland		http://www.glyphweb.com/arda/t/tookland.html
	1	0	Ithilien		http://www.glyphweb.com/arda/i/ithilien.html
	1	0	East Lórien		http://www.glyphweb.com/arda/e/eastlorien.html
	1	0	Naith		http://www.glyphweb.com/arda/n/naith.html
	1	0	Gore		http://www.glyphweb.com/arda/g/gore.html
	1	0	Henneth Annûn		http://www.glyphweb.com/arda/h/hennethannun.html
fangorn	1	0	Ent-houses		http://www.glyphweb.com/arda/e/enthouses.html
	1	0	Egladil		http://www.glyphweb.com/arda/e/egladil.html
	1	0	East-mark		http://www.glyphweb.com/arda/e/eastmark.html
	1	0	Imloth Melui		http://www.glyphweb.com/arda/i/imlothmelui.html
	1	0	Bridgefields		http://www.glyphweb.com/arda/b/bridgefields.html
	1	0	Mithe		http://www.glyphweb.com/arda/m/mithe.html
	1	0	West-march of Rohan		http://www.glyphweb.com/arda/w/westmarchofrohan.html
	1	0	Two Kingdoms		http://www.glyphweb.com/arda/t/twokingdoms.html
	1	0	Elf-havens		http://www.glyphweb.com/arda/e/elfhavens.html
	1	0	Greenfields		http://www.glyphweb.com/arda/g/greenfields.html
	1	0	Kingdoms of the Dúnedain		http://www.glyphweb.com/arda/k/kingdomsofthedunedain.html
	0	0	Adurant / River Adurant	Southernmost of the tributaries of Gelion	http://www.glyphweb.com/arda/a/adurant.html
	0	0	Aelin-uial	The Twilit Meres of the River Sirion	http://www.glyphweb.com/arda/a/aelinuial.html
	0	0	Aeluin / Tarn Aeluin	The refuge of Barahir	http://www.glyphweb.com/arda/a/aeluin.html
	0	0	"Akallabëth / Akallabêth, name for Númenor"	A name for Downfallen Númenor	http://www.glyphweb.com/arda/a/akallabeth.html
	0	0	Almaida	A haven of northwestern Númenor	http://www.glyphweb.com/arda/a/almaida.html
	0	0	Almaren / Isle of Almaren	The ancient home of the Valar	http://www.glyphweb.com/arda/a/almaren.html
	0	0	Alqualondë	The Haven of the Swans	http://www.glyphweb.com/arda/a/alqualonde.html
	0	0	Amon Darthir	One of the Mountains of Shadow	http://www.glyphweb.com/arda/a/amondarthir.html
	0	0	Amon Ereb	The lonely hill of East Beleriand	http://www.glyphweb.com/arda/a/amonereb.html
	0	0	Amon Ethir	The Spyhill of Nargothrond	http://www.glyphweb.com/arda/a/amonethir.html
	0	0	Amon Gwareth	The hill on which Gondolin stood	http://www.glyphweb.com/arda/a/amongwareth.html
	0	0	Amon Obel	The fortified hill at the heart of Brethil	http://www.glyphweb.com/arda/a/amonobel.html
	0	0	Amon Rúdh / Amon Rûdh	The Bald Hill	http://www.glyphweb.com/arda/a/amonrudh.html
	0	0	Amon Uilos	Mount Everwhite	http://www.glyphweb.com/arda/a/amonuilos.html
	0	0	Anach	The road out of Taur-nu-Fuin	http://www.glyphweb.com/arda/a/anach.html
	0	0	Anadúnë / Anadûnê	One of the many names of Númenor	http://www.glyphweb.com/arda/a/anadune.html
	0	0	Andor	The Land of Gift	http://www.glyphweb.com/arda/a/andor.html
	0	0	Andram	The Long Wall	http://www.glyphweb.com/arda/a/andram.html
	0	0	Androth	Refuge of the Grey-elves of Mithrim	http://www.glyphweb.com/arda/a/androth.html
	0	0	Andúnië	The shoreland city ruled by the ancestors of Elendil	http://www.glyphweb.com/arda/a/andunie.html
	0	0	Anfauglith	The Gasping Dust north of Beleriand	http://www.glyphweb.com/arda/a/anfauglith.html
	0	0	Angband	The Hells of Iron	http://www.glyphweb.com/arda/a/angband.html
	0	0	Anghabar	An iron mine among the Encircling Mountains	http://www.glyphweb.com/arda/a/anghabar.html
	0	0	Annon-in-Gelydh	The hidden Gate of the Noldor	http://www.glyphweb.com/arda/a/annoningelydh.html
	0	0	Ard-galen	The former name of Anfauglith	http://www.glyphweb.com/arda/a/ardgalen.html
	0	0	Armenelos	The royal city of Númenor	http://www.glyphweb.com/arda/a/armenelos.html
	0	0	Aros / River Aros	The southern border-river of Doriath	http://www.glyphweb.com/arda/a/aros.html
	0	0	Arossiach	The crossing of the Aros	http://www.glyphweb.com/arda/a/arossiach.html
	0	0	Ascar / River Ascar	Last resting-place of the treasures of Doriath	http://www.glyphweb.com/arda/a/ascar.html
	0	0	Atalantë	A name for the Downfallen isle	http://www.glyphweb.com/arda/a/atalante.html
	0	0	Avallónë	The haven of Eressëa	http://www.glyphweb.com/arda/a/avallone.html
	0	0	Bald Hill	The rocky height of Amon Rûdh	http://www.glyphweb.com/arda/b/baldhill.html
	0	0	Bar-en-Danwedh	The House of Ransom	http://www.glyphweb.com/arda/b/barendanwedh.html
	0	0	Bar-en-Nibin-noeg	The house of Mîm	http://www.glyphweb.com/arda/b/barennibinnoeg.html
	0	0	Bar-erib	A camp of Dor-Cúarthol	http://www.glyphweb.com/arda/b/barerib.html
	0	0	Barad Eithel	The fortress at the well of Sirion	http://www.glyphweb.com/arda/b/baradeithel.html
	0	0	Barad Nimras	Finrods coastal watchtower	http://www.glyphweb.com/arda/b/baradnimras.html
	0	0	Bay of Andúnië	Northernmost of the three bays of the Andustar	http://www.glyphweb.com/arda/b/bayofandunie.html
	0	0	Bay of Balar	The bay at the Mouths of Sirion	http://www.glyphweb.com/arda/b/bayofbalar.html
	0	0	Bay of Eldamar	Home of the Teleri in Aman	http://www.glyphweb.com/arda/b/bayofeldamar.html
	0	0	Bay of Eldanna	The great western bight of Númenor	http://www.glyphweb.com/arda/b/bayofeldanna.html
	0	0	Bay of Elvenhome	The bay east of the Calacirya	http://www.glyphweb.com/arda/b/bayofelvenhome.html
	0	0	Belegost	A citadel of the Dwarves in the Blue Mountains	http://www.glyphweb.com/arda/b/belegost.html
	0	0	Bralda-hîm	Heady ale	http://www.glyphweb.com/arda/b/braldahim.html
	0	0	Brethil / Forest of Brethil	The home of the Folk of Haleth	http://www.glyphweb.com/arda/b/brethil.html
	0	0	Brilthor	The fourth of Gelion's six tributaries	http://www.glyphweb.com/arda/b/brilthor.html
	0	0	Brithiach	The northern ford of the Sirion	http://www.glyphweb.com/arda/b/brithiach.html
	0	0	Brithombar	The Haven at the mouth of the Brithon	http://www.glyphweb.com/arda/b/brithombar.html
	0	0	Brithon	The river that flowed through Brithombar	http://www.glyphweb.com/arda/b/brithon.html
	0	0	Bywater Pool	A small lake in the Water	http://www.glyphweb.com/arda/b/bywaterpool.html
	0	0	Cabed Naeramarth	The Leap of Dreadful Doom	http://www.glyphweb.com/arda/c/cabednaeramarth.html
	0	0	Cabed-en-Aras	The Deers Leap	http://www.glyphweb.com/arda/c/cabedenaras.html
	0	0	Calacirian	A region near the Pass of Light	http://www.glyphweb.com/arda/c/calacirian.html
	0	0	Calacirya	The Pass of Light	http://www.glyphweb.com/arda/c/calacirya.html
	0	0	Calmindon	The Light-tower of Tol Uinen	http://www.glyphweb.com/arda/c/calmindon.html
	0	0	Cape Balar	The cape to the west of Arvernien	http://www.glyphweb.com/arda/c/capebalar.html
	0	0	Caragdúr	The precipice beneath Gondolin	http://www.glyphweb.com/arda/c/caragdur.html
	0	0	Caves of the Forgotten	The prison of Ar-Pharazôn	http://www.glyphweb.com/arda/c/cavesoftheforgotten.html
	0	0	Celebros	The stream of the Rainy Stair	http://www.glyphweb.com/arda/c/celebros.html
	0	0	Celon / River Celon	The river that flowed past Nan Elmoth	http://www.glyphweb.com/arda/c/celon.html
	0	0	Cirith Ninniach	The Rainbow Cleft	http://www.glyphweb.com/arda/c/cirithninniach.html
