Canonical	Names	Description	Source	Link
limlight	Limliht	A variation on the name Limlight	Encyclopedia Arda	http://www.glyphweb.com/arda/l/limliht.html
limlight	Limlint	An early name for the Limlight	Encyclopedia Arda	http://www.glyphweb.com/arda/l/limlint.html
limlight	Limlight		The Thain's Book	http://www.tuckborough.net/rivers.html#Limlight
lindon	Lindon		Encyclopedia Arda	http://www.glyphweb.com/arda/l/lindon.html
lindon	Lindon		The Thain's Book	http://www.tuckborough.net/lands.html#Lindon
lindon	Lindon		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Lindon
linhir	Linhir	A township on the River Gilrain	Encyclopedia Arda	http://www.glyphweb.com/arda/l/linhir.html
linhir	Linhir		The Thain's Book	http://www.tuckborough.net/towns.html#Linhir
linhir	Linhir		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Linhir
lithlad	Lithlad	Mordors northern plain of ash	Encyclopedia Arda	http://www.glyphweb.com/arda/l/lithlad.html
lithlad	Lithlad		The Thain's Book	http://www.tuckborough.net/plains.html#Lithlad
lithlad	Lithlad		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Lithlad
little-delving	Little Delving	A small village near Michel Delving	Encyclopedia Arda	http://www.glyphweb.com/arda/l/littledelving.html
little-delving	Little Delving		The Thain's Book	http://www.tuckborough.net/towns.html#Little%20Delving
little-delving	Little Delving		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Little_Delving
lo	Midgewater Marshes	The marshland east of the Chetwood	Encyclopedia Arda	http://www.glyphweb.com/arda/m/midgewater.html
lo	Midgewater Marshes		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Midgewater_Marshes
lo-edrein	Fenmarch		Encyclopedia Arda	http://www.glyphweb.com/arda/f/fenmarch.html
lo-edrein	Fenmarch		The Thain's Book	http://www.tuckborough.net/marshes.html#Fenmarch
lo-edrein	Fenmarch		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Fenmarch
lo-fern	Dead Marshes	The haunted marshlands beside the Battle Plain	Encyclopedia Arda	http://www.glyphweb.com/arda/d/deadmarshes.html
lo-fern	Dead Marshes		The Thain's Book	http://www.tuckborough.net/marshes.html#Dead
lo-fern	Dead Marshes		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Dead_Marshes
lockholes	Lockholes	The short-lived prison cells of Michel Delving	Encyclopedia Arda	http://www.glyphweb.com/arda/l/lockholes.html
lockholes	Lockholes		The Thain's Book	http://www.tuckborough.net/pubbldg.html#Lockholes
lockholes	Lockholes		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Lockholes
loeg-ningloron	Loeg Ningloron	The resting-place of the Ring	Encyclopedia Arda	http://www.glyphweb.com/arda/l/loegningloron.html
loeg-ningloron	Gladden Fields		The Thain's Book	http://www.tuckborough.net/marshes.html#Gladden
loeg-ningloron	Loeg Ningloron		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Loeg_Ningloron
lond-daer	Lond Daer	The  Númenórean port on the Gwathló	Encyclopedia Arda	http://www.glyphweb.com/arda/l/londdaer.html
lond-daer	Vinyalondë	The ancient haven at the mouth of the Gwathló	Encyclopedia Arda	http://www.glyphweb.com/arda/v/vinyalonde.html
lond-daer	Lond Daer		The Thain's Book	http://www.tuckborough.net/towns.html#Lond-Daer
lond-daer	Lond Daer Enedh		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Lond_Daer
lond-daer	New Haven		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Lond_Daer_Enedh
lond-daer	Vinyalondë		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Vinyalond%C3%AB
lond-dear	Lond Daer Enedh	The Great Middle Haven	Encyclopedia Arda	http://www.glyphweb.com/arda/l/londdaerenedh.html
lond-umbar	"Haven of Umbar / Umbar, Haven of"	The seaport of the Corsairs	Encyclopedia Arda	http://www.glyphweb.com/arda/h/havenofumbar.html
lond-umbar	Umbar		The Thain's Book	http://www.tuckborough.net/coastal.html#Umbar
lond-umbar	City  of the Corsairs / Umbar / Haven of Umbar		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Haven_of_Umbar
long-cleeve	Long Cleeve	The home of the North-tooks	Encyclopedia Arda	http://www.glyphweb.com/arda/l/longcleeve.html
long-cleeve	Long Cleeve		The Thain's Book	http://www.tuckborough.net/towns.html#Long_Cleeve
long-cleeve	Long Cleeve		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Long_Cleeve
longbottom	Longbottom	The birthplace of pipe-weed in the Shire	Encyclopedia Arda	http://www.glyphweb.com/arda/l/longbottom.html
longbottom	Longbottom		The Thain's Book	http://www.tuckborough.net/towns.html#Longbottom
longbottom	Longbottom		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Longbottom
lorellin	Lórellin	The shaded lake of Lórien	Encyclopedia Arda	http://www.glyphweb.com/arda/l/lorellin.html
lorien-rhunen	East Lórien		Encyclopedia Arda	http://www.glyphweb.com/arda/e/eastlorien.html
lorien-valinor	"Lórien, Valinor"		Encyclopedia Arda	http://www.glyphweb.com/arda/l/lorienvalinor.html
lossarnach	Arnach	The flowery vale west of Minas Tirith	Encyclopedia Arda	http://www.glyphweb.com/arda/a/arnach.html
lossarnach	Lossarnach		Encyclopedia Arda	http://www.glyphweb.com/arda/l/lossarnach.html
lossarnach	Lossarnach		The Thain's Book	http://www.tuckborough.net/lands.html#Lossarnach
lossarnach	Arnach		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Arnach
lossarnach	Lossarnach		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Lossarnach
lossir	Snowbourn River	The river that flowed out of Harrowdale	Encyclopedia Arda	http://www.glyphweb.com/arda/s/snowbourn.html
lossir	Snowbourn		The Thain's Book	http://www.tuckborough.net/rivers.html#Snowbourn
lossir	Snowbourn		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Snowbourn
lothlann	Lothlann	"The wide, empty plain north of the March of Maedhros"	Encyclopedia Arda	http://www.glyphweb.com/arda/l/lothlann.html
lothlorien	Dreamflower		Encyclopedia Arda	http://www.glyphweb.com/arda/d/dreamflower.html
lothlorien	Dwimordene	Galadriels magical land	Encyclopedia Arda	http://www.glyphweb.com/arda/d/dwimordene.html
lothlorien	Golden Wood	The forest of the golden mallorn trees	Encyclopedia Arda	http://www.glyphweb.com/arda/g/goldenwood.html
lothlorien	Lindórinand		Encyclopedia Arda	http://www.glyphweb.com/arda/l/lindorinand.html
lothlorien	"Lórien, Middle-earth"		Encyclopedia Arda	http://www.glyphweb.com/arda/l/lorien.html
lothlorien	Lórinand		Encyclopedia Arda	http://www.glyphweb.com/arda/l/lorinand.html
lothlorien	Lothlórien		Encyclopedia Arda	http://www.glyphweb.com/arda/l/lothlorien.html
lothlorien	Lothlórien		The Thain's Book	http://www.tuckborough.net/lothlorien.html#Names
lothlorien	Golden Wood		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Golden_Wood
lothlorien	Lórien / Laurelindórenan / Lindórinand / Lothlórien		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Lothl%C3%B3rien
mahanaxar	Máhanaxar	The Ring of Doom before the gates of Valmar	Encyclopedia Arda	http://www.glyphweb.com/arda/m/mahanaxar.html
mahanaxar	"Ring of Doom / Ring of Doom, Máhanaxar"	The Máhanaxar	Encyclopedia Arda	http://www.glyphweb.com/arda/r/ringofdoom.html
mahanaxar	Ring of Doom / Mahanaxar		Tolkien Gateway	http://www.tolkiengateway.net/wiki/M%C3%A1hanaxar
malduin	Malduin	A northern tributary of the Teiglin	Encyclopedia Arda	http://www.glyphweb.com/arda/m/malduin.html
mallenrond	Golden Hall	The gold-thatched hall of the Kings of Rohan	Encyclopedia Arda	http://www.glyphweb.com/arda/g/goldenhall.html
mallenrond	Meduseld		The Thain's Book	http://www.tuckborough.net/dwellings.html#Meduseld
mar-nu-falmar	Mar-nu-Falmar		Encyclopedia Arda	http://www.glyphweb.com/arda/m/marnufalmar.html
marish	Marish		Encyclopedia Arda	http://www.glyphweb.com/arda/m/marish.html
marish	Marish		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Marish
mathom-house	Mathom-house	The 'museum' of Michel Delving	Encyclopedia Arda	http://www.glyphweb.com/arda/m/mathomhouse.html
mathom-house	Mathom-house		The Thain's Book	http://www.tuckborough.net/pubbldg.html#Mathom-house
mazarbul-chamber	Chamber of Mazarbul	The Chamber of Records in old Khazad-dûm	Encyclopedia Arda	http://www.glyphweb.com/arda/c/chamberofmazarbul.html
mazarbul-chamber	Chamber of Mazarbul		The Thain's Book	http://www.tuckborough.net/otherbuildings.html#Chamber-Mazarbul
mazarbul-chamber	Chamber of Mazarbul		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Chamber_of_Mazarbul
meduseld	Meduseld	The Golden Hall of the King of Rohan	Encyclopedia Arda	http://www.glyphweb.com/arda/m/meduseld.html
meduseld	Meduseld		The Thain's Book	http://www.tuckborough.net/dwellings.html#Meduseld
meduseld	Meduseld		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Meduseld
men-annun	Great West Road		The Thain's Book	http://www.tuckborough.net/roads.html#Great-West-Road
men-eryn-iaur	Dwarf-road of Mirkwood	The long east-west road beneath the trees of Mirkwood	Encyclopedia Arda	http://www.glyphweb.com/arda/d/dwarfroadofmirkwood.html
men-eryn-iaur	Men-i-Naugrim	The Dwarf-road that ran through Mirkwood	Encyclopedia Arda	http://www.glyphweb.com/arda/m/meninaugrim.html
men-eryn-iaur	Old Forest Road	The east-west road that led through Greenwood the Great	Encyclopedia Arda	http://www.glyphweb.com/arda/o/oldforestroad.html
men-eryn-iaur	Old Forest Road		The Thain's Book	http://www.tuckborough.net/roads.html#Old-Forest-Rd
men-eryn-iaur	Forest Road		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Forest_Road
men-eryn-iaur	Men-i-Naugrim		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Men-i-Naugrim
men-eryn-iaur	Old Forest Road		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Old_Forest_Road
men-harad	Harad Road	The road that ran south out of Ithilien	Encyclopedia Arda	http://www.glyphweb.com/arda/h/haradroad.html
men-harad	Harad Road		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Harad_Road
men-morgul	Morgul-road / Osgiliath Road		The Thain's Book	http://www.tuckborough.net/roads.html#Morgul-road
men-rhun-annui	East Road	The road that led from the Shire out into Eriador	Encyclopedia Arda	http://www.glyphweb.com/arda/e/eastroad.html
men-rhun-annui	East-West Road	The road that crossed Eriador from west to east	Encyclopedia Arda	http://www.glyphweb.com/arda/e/eastwestroad.html
men-rhun-annui	Great Road (west to east)	The East-West Road of Eriador	Encyclopedia Arda	http://www.glyphweb.com/arda/g/greatroad1.html
men-rhun-annui	Great East Road		Tolkien Gateway	http://www.tolkiengateway.net/wiki/East_Road
men-rhun-annui	Old Road		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Old_Road
menegroth	Menegroth	The Thousand Caves of Doriath	Encyclopedia Arda	http://www.glyphweb.com/arda/m/menegroth.html
menegroth	Thousand Caves	Thingols carven citadel at Menegroth	Encyclopedia Arda	http://www.glyphweb.com/arda/t/thousandcaves.html
menegroth	Thousand Caves		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Thousand_Caves
meneltarma	Meneltarma	The Pillar of Heaven	Encyclopedia Arda	http://www.glyphweb.com/arda/m/meneltarma.html
meneltarma	Pillar of Heaven	The Meneltarma of Númenor	Encyclopedia Arda	http://www.glyphweb.com/arda/p/pillarofheaven.html
menion-annui	Great West Road		The Thain's Book	http://www.tuckborough.net/roads.html#Great-West-Road
menion-rhun-annui	Old Road	The road running east through Eriador	Encyclopedia Arda	http://www.glyphweb.com/arda/o/oldroad.html
merethrond	Great Hall of Feasts	The feasting-hall of Minas Tirith	Encyclopedia Arda	http://www.glyphweb.com/arda/g/greathalloffeasts.html
merethrond	Merethrond	The Great Hall of Feasts	Encyclopedia Arda	http://www.glyphweb.com/arda/m/merethrond.html
merethrond	Great Hall of Feasts		The Thain's Book	http://www.tuckborough.net/pubbldg.html#Great_Hall_of_Feasts
merethrond	Merethrond		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Great_Hall_of_Feasts
methed-en-glad	Methed-en-glad	The End of the Wood	Encyclopedia Arda	http://www.glyphweb.com/arda/m/methedenglad.html
methedras	Methedras	The last peak of the Misty Mountains	Encyclopedia Arda	http://www.glyphweb.com/arda/m/methedras.html
methedras	Methedras		The Thain's Book	http://www.tuckborough.net/mountains.html#Methedras
methedras	Last Mountain / Methedras		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Methedras
michel-delving	Michel Delving	The chief township of the Shire	Encyclopedia Arda	http://www.glyphweb.com/arda/m/micheldelving.html
michel-delving	Michel Delving		The Thain's Book	http://www.tuckborough.net/towns.html#Michel%20Delving
michel-delving	Michel Delving		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Michel_Delving
mickleburg	Mickleburg	A great Dwarf-city of the Blue Mountains	Encyclopedia Arda	http://www.glyphweb.com/arda/m/mickleburg.html
mickleburg	Belegost and Nogrod		The Thain's Book	http://www.tuckborough.net/towns.html#Belegost-Nogrod
min-rimmon	Min-Rimmon	Beacon-hill of Gondor	Encyclopedia Arda	http://www.glyphweb.com/arda/m/minrimmon.html
min-rimmon	Min-Rimmon:		The Thain's Book	http://www.tuckborough.net/hills.html#Min-Rimmon
min-rimmon	Min-Rimmon		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Min-Rimmon
minas-morgul	Minas Ithil	Isildur's Tower of the Moon	Encyclopedia Arda	http://www.glyphweb.com/arda/m/minasithil.html
minas-morgul	Minas Morgul	The Tower of Sorcery	Encyclopedia Arda	http://www.glyphweb.com/arda/m/minasmorgul.html
minas-morgul	Moontower	A name for the tower of Minas Ithil	Encyclopedia Arda	http://www.glyphweb.com/arda/m/moontower.html
minas-morgul	Tower of Sorcery	A dark name for Minas Morgul	Encyclopedia Arda	http://www.glyphweb.com/arda/t/towerofsorcery.html
minas-morgul	Tower of the Moon	The tower of Minas Ithil	Encyclopedia Arda	http://www.glyphweb.com/arda/t/towerofthemoon.html
minas-morgul	Tower of the Rising Moon	Minas Ithil beneath the Ephel Dúath	Encyclopedia Arda	http://www.glyphweb.com/arda/t/toweroftherisingmoon.html
minas-morgul	Morgul	The city of the Ringwraiths and its vale	Encyclopedia Arda	http://www.glyphweb.com/arda/m/morgul.html
minas-morgul	Minas Morgul		The Thain's Book	http://www.tuckborough.net/fortress.html#Minas%20Morgul
minas-morgul	Minas Morgul / Minas Ithil		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Minas_Morgul
minas-tirith	City of Gondor	Minas Tirith beneath Mindolluin	Encyclopedia Arda	http://www.glyphweb.com/arda/c/cityofgondor.html
minas-tirith	Hill of Guard	The hill of Minas Tirith	Encyclopedia Arda	http://www.glyphweb.com/arda/h/hillofguard.html
minas-tirith	Minas Anor	The Tower of the Setting Sun	Encyclopedia Arda	http://www.glyphweb.com/arda/m/minasanor.html
minas-tirith	"Minas Tirith / Minas Tirith, Gondor"	Gondor's Tower of Guard	Encyclopedia Arda	http://www.glyphweb.com/arda/m/minastirith.html
minas-tirith	Mundburg	A name for Minas Tirith	Encyclopedia Arda	http://www.glyphweb.com/arda/m/mundburg.html
minas-tirith	Tower of Guard	A name for Minas Tirith	Encyclopedia Arda	http://www.glyphweb.com/arda/t/towerofguard.html
minas-tirith	Tower of the Setting Sun	A name for Minas Anor	Encyclopedia Arda	http://www.glyphweb.com/arda/t/towerofthesettingsun.html
minas-tirith	Tower of the Sun	The city that would become Minas Tirith	Encyclopedia Arda	http://www.glyphweb.com/arda/t/towerofthesun.html
minas-tirith	White Tower	The Tower of Minas Tirith	Encyclopedia Arda	http://www.glyphweb.com/arda/w/whitetower.html
minas-tirith	Amon Tirith	The Hill of Guard	Encyclopedia Arda	http://www.glyphweb.com/arda/a/amontirith.html
minas-tirith	Tower of Anor	The city of Minas Tirith	Encyclopedia Arda	http://www.glyphweb.com/arda/t/towerofanor.html
minas-tirith	City of the Kings	A title of two cities	Encyclopedia Arda	http://www.glyphweb.com/arda/c/cityofthekings.html
minas-tirith	Minas Tirith		The Thain's Book	http://www.tuckborough.net/minastirith.html
minas-tirith	Minas Anor		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Minas_Anor
minas-tirith	Minas Tirith		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Minas_Tirith_(Beleriand)
minas-tirith	Mundburg		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Mundburg
minas-tirith	White Tower		Tolkien Gateway	http://www.tolkiengateway.net/wiki/White_Tower
minas-tirith-beleriand	"Minas Tirith / Minas Tirith, Beleriand"	The tower that guarded the Pass of Sirion	Encyclopedia Arda	http://www.glyphweb.com/arda/m/minastirith1.html
mindeb	Mindeb	A lesser tributary of the Sirion	Encyclopedia Arda	http://www.glyphweb.com/arda/m/mindeb.html
mindolluin	Mindolluin / Mount Mindolluin	Easternmost of the White Mountains	Encyclopedia Arda	http://www.glyphweb.com/arda/m/mindolluin.html
mindolluin	Mindolluin		The Thain's Book	http://www.tuckborough.net/mountains.html#Mindolluin
mindolluin	Mindolluin / Mount Mindolluin		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Mindolluin
mindon-eldalieva	Mindon Eldaliéva	The Tower of Ingwë in Tirion	Encyclopedia Arda	http://www.glyphweb.com/arda/m/mindoneldalieva.html
mindon-eldalieva	Tower of Ingwë	The Mindon Eldaliéva of Tirion	Encyclopedia Arda	http://www.glyphweb.com/arda/t/towerofingwe.html
minhiriath	Minhiriath		Encyclopedia Arda	http://www.glyphweb.com/arda/m/minhiriath.html
minhiriath	Minhiriath		The Thain's Book	http://www.tuckborough.net/lands.html#Minhiriath
minhiriath	Minhiriath		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Minhiriath
mithe	Mithe		Encyclopedia Arda	http://www.glyphweb.com/arda/m/mithe.html
mithe	Shirebourn		The Thain's Book	http://www.tuckborough.net/rivers.html#Shirebourn
mitheithel	Hoarwell / River Hoarwell	The northern river also called Mitheithel	Encyclopedia Arda	http://www.glyphweb.com/arda/h/hoarwell.html
mitheithel	Mitheithel	The northern river Men called the Hoarwell	Encyclopedia Arda	http://www.glyphweb.com/arda/m/mitheithel.html
mitheithel	Hoarwell		The Thain's Book	http://www.tuckborough.net/rivers.html#Hoarwell
mitheithel	Mitheithel		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Mitheithel
mithlond	Grey Havens	The havens at the mouth of the Lhûn	Encyclopedia Arda	http://www.glyphweb.com/arda/g/greyhavens.html
mithlond	Mithlond	The Grey Havens	Encyclopedia Arda	http://www.glyphweb.com/arda/m/mithlond.html
mithlond	Grey Havens		The Thain's Book	http://www.tuckborough.net/towns.html#Grey-Havens
mithlond	Mithlond / Grey Havens / Havens of Mithlond		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Grey_Havens
mithnen	Greylin / River Greylin	One of the Anduins two source-rivers	Encyclopedia Arda	http://www.glyphweb.com/arda/g/greylin.html
mithnen	Greylin		The Thain's Book	http://www.tuckborough.net/rivers.html#Greylin
mithnen	Greylin		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Greylin
mithrim	Lammoth		Encyclopedia Arda	http://www.glyphweb.com/arda/l/lammoth.html
mithrim	Mithrim / Lake Mithrim	The lake to the north of the land of Mithrim	Encyclopedia Arda	http://www.glyphweb.com/arda/l/lakemithrim.html
mithrim	Mithrim		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Mithrim
morannon	Black Gate	The gate that guarded the northwestern entrance to Mordor	Encyclopedia Arda	http://www.glyphweb.com/arda/b/blackgate.html
morannon	Gate of Mordor	The gate across the Haunted Pass	Encyclopedia Arda	http://www.glyphweb.com/arda/g/gateofmordor.html
morannon	Gates of Mordor	Sauron's Black Gate	Encyclopedia Arda	http://www.glyphweb.com/arda/g/gatesofmordor.html
morannon	Morannon	The Black Gate	Encyclopedia Arda	http://www.glyphweb.com/arda/m/morannon.html
morannon	Towers of the Teeth	The twin guardians of Mordor	Encyclopedia Arda	http://www.glyphweb.com/arda/t/towersoftheteeth.html
morannon	Black Gate		The Thain's Book	http://www.tuckborough.net/otherbuildings.html#Black-Gate
morannon	Black Gate		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Black_Gate
morannon	Morannon		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Morannon
morannon	Towers of the Teeth		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Towers_of_the_Teeth
mordor	Black Land		Encyclopedia Arda	http://www.glyphweb.com/arda/b/blackland.html
mordor	Dark Country		Encyclopedia Arda	http://www.glyphweb.com/arda/d/darkcountry.html
mordor	Dark Land		Encyclopedia Arda	http://www.glyphweb.com/arda/d/darkland.html
mordor	Mordor		Encyclopedia Arda	http://www.glyphweb.com/arda/m/mordor.html
mordor	Mordor		The Thain's Book	http://www.tuckborough.net/mordor.html
mordor	Mordor / Black Land / Nameless Land		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Mordor
mordor-teeth	Towers of the Teeth: Narchost & Carchost		The Thain's Book	http://www.tuckborough.net/fortress.html#Teeth
morgai	Morgai	The inner fence of Mordor	Encyclopedia Arda	http://www.glyphweb.com/arda/m/morgai.html
morgai	Morgai		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Morgai
morgulduin	Morgulduin	The stream of Imlad Morgul	Encyclopedia Arda	http://www.glyphweb.com/arda/m/morgulduin.html
moria	Black Chasm	The darkness of Moria	Encyclopedia Arda	http://www.glyphweb.com/arda/b/blackchasm.html
moria	Black Pit	A name for Moria	Encyclopedia Arda	http://www.glyphweb.com/arda/b/blackpit.html
moria	Hadhodrond	The Elvish rendering of Khazad-dûm	Encyclopedia Arda	http://www.glyphweb.com/arda/h/hadhodrond.html
moria	Khazad-dúm / Khazad-dûm	The Mansions of Durin and his Kin	Encyclopedia Arda	http://www.glyphweb.com/arda/k/khazaddum.html
moria	Mines of Moria	The Dwarf-delvings of Khazad-dûm	Encyclopedia Arda	http://www.glyphweb.com/arda/m/minesofmoria.html
moria	Moria	The Black Chasm	Encyclopedia Arda	http://www.glyphweb.com/arda/m/moria.html
moria	Phurunargian	The Westron name of Khazad-dûm	Encyclopedia Arda	http://www.glyphweb.com/arda/p/phurunargian.html
moria	Dwarrowdelf	The Mannish name for Khazad-dûm	Encyclopedia Arda	http://www.glyphweb.com/arda/d/dwarrowdelf.html
moria	Moria		The Thain's Book	http://www.tuckborough.net/moria.html
moria	Black Pit		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Black_Pit
moria	Dwarrowdelf		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Dwarrowdelf
moria	Hadhodrond		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Hadhodrond
moria	Khazad-dûm / Moria / Halls of Durin		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Khazad-d%C3%BBm
moria-walls	Walls of Moria		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Walls_of_Moria
mornorod	Dwimorberg	The Haunted Mountain	Encyclopedia Arda	http://www.glyphweb.com/arda/d/dwimorberg.html
mornorod	Haunted Mountain	The domain of the Dead	Encyclopedia Arda	http://www.glyphweb.com/arda/h/hauntedmountain.html
mornorod	Dwimorberg		The Thain's Book	http://www.tuckborough.net/mountains.html#Dwimorberg
mornorod	Haunted Mountain / Dwimorberg		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Dwimorberg
morthond	Blackroot	The river that rose above Erech	Encyclopedia Arda	http://www.glyphweb.com/arda/b/blackroot.html
morthond	Morthond / River Morthond	The river of the Blackroot Vale	Encyclopedia Arda	http://www.glyphweb.com/arda/m/morthond.html
morthond	Blackroot (Morthond)		The Thain's Book	http://www.tuckborough.net/rivers.html#Blackroot
morthond	Blackroot / Morthond		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Morthond
naith-bruinen	"Angle, Bruinen"		Encyclopedia Arda	http://www.glyphweb.com/arda/a/angle.html
naith-bruinen	The Angle		The Thain's Book	http://www.tuckborough.net/lands.html#Angle
naith-lorien	"Angle, Lórien"		Encyclopedia Arda	http://www.glyphweb.com/arda/a/anglelorien.html
naith-lorien	Gore		Encyclopedia Arda	http://www.glyphweb.com/arda/g/gore.html
naith-lorien	Naith		Encyclopedia Arda	http://www.glyphweb.com/arda/n/naith.html
naith-lorien	Lothlórien		The Thain's Book	http://www.tuckborough.net/lothlorien.html
naith-lorien	Names & Etymology		The Thain's Book	http://www.tuckborough.net/lothlorien.html#Names
nan-curunir	Nan Curunír	The valley of the Wizard Saruman	Encyclopedia Arda	http://www.glyphweb.com/arda/n/nancurunir.html
nan-curunir	Wizard's Vale	Nan Curunír in the Misty Mountains	Encyclopedia Arda	http://www.glyphweb.com/arda/w/wizardsvale.html
nan-curunir	Nan Curunír		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Nan_Curun%C3%ADr
nan-dungortheb	Nan Dungortheb	The dreadful valley north of Doriath	Encyclopedia Arda	http://www.glyphweb.com/arda/n/nandungortheb.html
nan-elmoth	Nan Elmoth	The forest on the banks of the River Celon	Encyclopedia Arda	http://www.glyphweb.com/arda/n/nanelmoth.html
nanduhirion	Azanulbizar	The deep-shadowed valley of the Dimrill Dale	Encyclopedia Arda	http://www.glyphweb.com/arda/a/azanulbizar.html
nanduhirion	Dimrill Dale	The valley of Nanduhirion	Encyclopedia Arda	http://www.glyphweb.com/arda/d/dimrilldale.html
nanduhirion	Nanduhirion	The Dimrill Dale	Encyclopedia Arda	http://www.glyphweb.com/arda/n/nanduhirion.html
nanduhirion	Dimrill Dale		The Thain's Book	http://www.tuckborough.net/valleys.html#Dimrill
nanduhirion	Azanulbizar		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Azanulbizar
nanduhirion	Dimrill Dale / Nanduhirrion		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Dimrill_Dale
narchost	Narchost	One of the two Towers of the Teeth	Encyclopedia Arda	http://www.glyphweb.com/arda/n/narchost.html
narchost	Towers of the Teeth: Narchost & Carchost		The Thain's Book	http://www.tuckborough.net/fortress.html#Teeth
narchost	Narchost		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Narchost
nardol	Nardol	The third of the Beacons of Gondor	Encyclopedia Arda	http://www.glyphweb.com/arda/n/nardol.html
nardol	Nardol		The Thain's Book	http://www.tuckborough.net/hills.html#Nardol
nardol	Nardol		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Nardol
nargothrond	Nargothrond	The hidden fortress on the River Narog	Encyclopedia Arda	http://www.glyphweb.com/arda/n/nargothrond.html
nargothrond	Nargothrond		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Nargothrond
narog	Narog / River Narog	One of the great rivers of Beleriand	Encyclopedia Arda	http://www.glyphweb.com/arda/n/narog.html
narog	Narog		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Narog
near-harad	Near Harad		Encyclopedia Arda	http://www.glyphweb.com/arda/n/nearharad.html
near-harad	Harad / Corsairs / Haradrim / Sunlands / Southrons / Swertings / Far Harad / Near Harad / Haradwaith / Sutherland		The Thain's Book	http://www.tuckborough.net/harad.html
near-harad	Near Harad		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Near_Harad
needlehole	Needlehole	A village in the northwest of the Shire	Encyclopedia Arda	http://www.glyphweb.com/arda/n/needlehole.html
needlehole	Needlehole		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Needlehole
neldoreth	Neldoreth	"The lesser, northern forest of Doriath"	Encyclopedia Arda	http://www.glyphweb.com/arda/n/neldoreth.html
neldoreth	Neldoreth / Forest of Neldoreth / Taur-Na-Neldor		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Forest_of_Neldoreth
